time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-09T22:52:02.020Z,33.8255,-116.9726667,45.08,1.47,ml,18,104,0.01789,0.28,ci,ci37808031,2017-11-09T23:03:46.409Z,"5km NNW of San Jacinto, CA",earthquake,1.66,2.33,0.267,28,automatic,ci,ci
2017-11-09T22:51:27.360Z,33.6916667,-117.1593333,0.11,1.23,ml,13,93,0.1738,0.32,ci,ci37808023,2017-11-09T23:03:44.874Z,"4km SSW of Menifee, CA",earthquake,0.94,31.61,0.459,19,automatic,ci,ci
2017-11-09T22:46:11.170Z,33.5995,-116.6245,13.6,0.66,ml,23,60,0.02382,0.13,ci,ci37808015,2017-11-09T22:59:16.663Z,"7km NE of Anza, CA",earthquake,0.27,0.34,0.129,16,automatic,ci,ci
2017-11-09T22:37:44.320Z,33.6006667,-116.6213333,13.37,0.25,ml,15,72,0.02128,0.08,ci,ci37808007,2017-11-09T23:04:27.828Z,"7km NE of Anza, CA",earthquake,0.23,0.37,0.073,6,reviewed,ci,ci
2017-11-09T22:36:57.990Z,48.0808334,-121.9176636,-0.75,2.28,md,27,71,0.1148,0.25,uw,uw61326962,2017-11-09T22:41:39.220Z,"3km E of Granite Falls, Washington",earthquake,0.39,1.47,0.24,4,reviewed,uw,uw
2017-11-09T22:35:46.830Z,33.5991667,-116.6253333,13.29,1.05,ml,32,50,0.0245,0.08,ci,ci37807999,2017-11-09T23:00:04.744Z,"7km NE of Anza, CA",earthquake,0.15,0.23,0.135,22,reviewed,ci,ci
2017-11-09T22:06:06.590Z,19.8488331,-155.5286713,21.49,1.87,md,28,163,0.09385,0.24,hv,hv61971996,2017-11-09T22:09:33.640Z,"24km SE of Waimea, Hawaii",earthquake,0.94,2.62,0.12,6,automatic,hv,hv
2017-11-09T21:58:12.862Z,62.9533,-148.6751,47.3,1.9,ml,,,,0.7,ak,ak17174581,2017-11-09T22:08:37.067Z,"50km SSE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-11-09T21:53:26.347Z,38.2469,-118.7719,10.3,0.5,ml,6,205,0.184,0.1062,nn,nn00612015,2017-11-09T22:09:21.634Z,"33km SSW of Hawthorne, Nevada",earthquake,,8.3,0.45,4,reviewed,nn,nn
2017-11-09T21:52:39.220Z,45.8845,-119.9298333,6.93,1.87,ml,9,191,0.0107,0.2,uw,uw61326937,2017-11-09T22:51:58.180Z,"18km WNW of Boardman, Oregon",earthquake,1.18,0.56,0.204,7,reviewed,uw,uw
