Date,Open,High,Low,Close,Volume
9-Nov-17,16.24,16.61,16.08,16.51,1942132
8-Nov-17,16.71,16.92,16.29,16.51,2043043
7-Nov-17,17.59,17.60,16.55,16.86,3839599
6-Nov-17,16.63,17.30,16.39,17.15,3439142
3-Nov-17,16.47,16.91,16.43,16.59,2458017
2-Nov-17,16.67,16.70,16.22,16.50,1113645
1-Nov-17,16.75,16.83,16.48,16.73,1209770
31-Oct-17,16.72,16.89,16.55,16.70,1177323
30-Oct-17,16.79,16.79,16.50,16.71,828545
27-Oct-17,16.35,16.86,16.33,16.75,1443593
26-Oct-17,15.85,16.47,15.85,16.27,1736580
25-Oct-17,15.78,16.14,15.74,15.81,1256570
24-Oct-17,15.75,15.86,15.49,15.74,1373750
23-Oct-17,15.65,16.30,15.27,15.76,2963682
20-Oct-17,16.30,16.55,16.15,16.38,722378
19-Oct-17,16.35,16.39,15.93,16.19,1066421
18-Oct-17,16.21,16.41,16.21,16.36,514844
17-Oct-17,16.33,16.39,16.12,16.20,745886
16-Oct-17,16.56,16.60,16.33,16.36,623909
13-Oct-17,16.20,16.63,16.19,16.51,749941
12-Oct-17,16.30,16.40,16.19,16.20,952171
11-Oct-17,16.45,16.52,16.24,16.34,768921
10-Oct-17,16.52,16.62,16.32,16.40,952624
9-Oct-17,16.70,16.76,16.38,16.47,954507
6-Oct-17,16.52,16.90,16.48,16.72,1817183
5-Oct-17,16.56,16.57,16.22,16.50,1944803
4-Oct-17,16.87,16.99,16.41,16.55,1329844
3-Oct-17,17.26,17.36,16.84,17.03,1401739
2-Oct-17,16.96,17.32,16.90,17.20,1349139
29-Sep-17,16.79,16.98,16.76,16.88,1432038
28-Sep-17,16.89,17.07,16.78,16.82,1145379
27-Sep-17,17.17,17.19,16.64,16.96,1349331
26-Sep-17,16.90,17.11,16.90,17.04,771004
25-Sep-17,16.95,17.14,16.81,16.90,1405870
22-Sep-17,16.99,17.21,16.99,17.11,777995
21-Sep-17,17.17,17.19,17.01,17.11,837868
20-Sep-17,17.19,17.29,16.85,17.18,1981395
19-Sep-17,17.21,17.31,17.03,17.17,2181961
18-Sep-17,17.27,17.33,17.01,17.13,1758792
15-Sep-17,17.80,17.82,17.04,17.17,4674658
14-Sep-17,17.79,17.90,17.56,17.76,965304
13-Sep-17,17.64,17.81,17.53,17.79,1270041
12-Sep-17,17.29,17.82,17.27,17.62,1538799
11-Sep-17,17.00,17.36,16.89,17.34,1379235
8-Sep-17,16.94,17.15,16.78,16.88,1282321
7-Sep-17,16.96,17.49,16.90,17.00,3339252
6-Sep-17,16.27,16.63,16.08,16.62,2308607
5-Sep-17,16.16,16.42,16.02,16.32,1382151
1-Sep-17,16.43,16.53,16.18,16.31,633116
31-Aug-17,16.26,16.60,16.26,16.37,1202104
30-Aug-17,16.00,16.39,15.92,16.17,980896
29-Aug-17,15.74,16.06,15.64,16.03,1475009
28-Aug-17,15.75,15.90,15.64,15.83,2430057
25-Aug-17,16.00,16.03,15.44,15.64,990183
24-Aug-17,15.63,15.86,15.46,15.84,1413902
23-Aug-17,15.54,15.65,15.54,15.61,724661
22-Aug-17,15.51,15.69,15.46,15.63,731540
21-Aug-17,15.53,15.63,15.39,15.43,1069865
18-Aug-17,15.44,15.72,15.40,15.59,1513967
17-Aug-17,15.53,15.68,15.31,15.58,2019356
16-Aug-17,15.66,15.87,15.47,15.60,2019746
15-Aug-17,16.18,16.24,15.53,15.64,3736325
14-Aug-17,16.31,16.39,16.01,16.19,1676851
11-Aug-17,16.00,16.69,15.90,16.22,3050080
10-Aug-17,15.77,15.96,15.41,15.90,3342981
9-Aug-17,15.36,15.94,15.13,15.85,2734028
8-Aug-17,15.40,15.91,15.32,15.62,3270145
7-Aug-17,15.21,15.69,15.20,15.46,2726931
4-Aug-17,15.49,16.00,14.82,15.15,5164128
3-Aug-17,14.05,14.29,13.58,13.59,2612882
2-Aug-17,14.40,14.42,13.94,14.02,1202518
1-Aug-17,14.39,14.47,14.15,14.31,1317924
31-Jul-17,14.65,14.76,14.27,14.37,957570
28-Jul-17,14.72,15.01,14.61,14.64,867801
27-Jul-17,14.99,15.05,14.39,14.84,1000292
26-Jul-17,14.65,15.07,14.65,14.92,1122386
25-Jul-17,14.53,14.68,14.29,14.65,648221
24-Jul-17,14.60,14.78,14.44,14.49,852243
21-Jul-17,14.62,14.63,14.30,14.62,1870879
20-Jul-17,14.71,14.75,14.48,14.50,805060
19-Jul-17,15.02,15.02,14.52,14.60,963239
18-Jul-17,14.76,14.97,14.54,14.91,991206
17-Jul-17,15.07,15.21,14.72,14.77,799730
14-Jul-17,15.23,15.29,15.05,15.06,547057
13-Jul-17,14.93,15.20,14.83,15.18,960094
12-Jul-17,14.97,15.14,14.87,14.93,1088353
11-Jul-17,14.90,15.04,14.62,14.82,1607961
10-Jul-17,15.01,15.14,14.84,15.01,841368
7-Jul-17,14.73,15.15,14.69,15.02,1243973
6-Jul-17,14.77,14.89,14.53,14.63,843940
5-Jul-17,14.77,15.07,14.68,14.89,1204389
3-Jul-17,15.00,15.00,14.49,14.72,582409
30-Jun-17,14.98,15.14,14.90,15.00,856855
29-Jun-17,15.16,15.16,14.51,14.97,1370333
28-Jun-17,15.02,15.20,14.68,15.19,1564930
27-Jun-17,15.20,15.27,14.56,14.80,1815737
26-Jun-17,15.33,15.46,14.97,15.27,1915270
23-Jun-17,15.00,15.29,14.57,15.24,3422627
22-Jun-17,14.42,15.02,14.32,14.68,3477773
21-Jun-17,13.86,14.35,13.79,14.20,1434645
20-Jun-17,14.15,14.37,13.93,13.98,1191462
19-Jun-17,13.72,14.23,13.72,14.20,1564504
16-Jun-17,13.60,14.12,13.60,13.67,2810966
15-Jun-17,13.42,13.87,13.42,13.85,1297533
